query_id             doc_id               doc_score           
1                    5                    6                   
1                    6                    3                   
1                    7                    1                   
1                    9                    1                   
1                    11                   1                   
1                    12                   6                   
1                    13                   10                  
1                    14                   5                   
1                    19                   1                   
1                    20                   2                   
1                    21                   2                   
1                    22                   1                   
1                    23                   2                   
1                    24                   4                   
1                    25                   8                   
1                    27                   3                   
1                    28                   2                   
1                    29                   8                   
1                    30                   2                   
1                    32                   1                   
1                    33                   5                   
1                    35                   1                   
1                    36                   2                   
1                    37                   3                   
1                    40                   2                   
1                    41                   3                   
1                    42                   1                   
1                    44                   1                   
1                    45                   5                   
1                    47                   2                   
1                    49                   3                   
1                    50                   2                   
1                    51                   26                  
1                    52                   3                   
1                    53                   3                   
1                    55                   2                   
1                    56                   10                  
1                    57                   4                   
1                    58                   1                   
1                    60                   2                   
1                    61                   1                   
1                    62                   7                   
1                    66                   2                   
1                    67                   1                   
1                    68                   1                   
1                    69                   1                   
1                    70                   1                   
1                    72                   2                   
1                    73                   2                   
1                    74                   1                   
1                    75                   2                   
1                    76                   1                   
1                    77                   7                   
1                    78                   5                   
1                    80                   4                   
1                    81                   2                   
1                    82                   5                   
1                    84                   3                   
1                    85                   3                   
1                    88                   1                   
1                    89                   3                   
1                    90                   1                   
1                    91                   1                   
1                    92                   1                   
1                    94                   3                   
1                    95                   3                   
1                    96                   3                   
1                    97                   2                   
1                    98                   1                   
1                    100                  6                   
1                    101                  8                   
1                    102                  6                   
1                    103                  1                   
1                    104                  3                   
1                    107                  1                   
1                    110                  3                   
1                    114                  11                  
1                    118                  1                   
1                    119                  2                   
1                    120                  5                   
1                    121                  2                   
1                    123                  5                   
1                    124                  2                   
1                    128                  1                   
1                    129                  3                   
1                    131                  1                   
1                    135                  3                   
1                    139                  1                   
1                    140                  3                   
1                    141                  3                   
1                    142                  3                   
1                    144                  6                   
1                    145                  4                   
1                    146                  1                   
1                    147                  2                   
1                    154                  2                   
1                    156                  10                  
1                    157                  1                   
1                    158                  10                  
1                    159                  1                   
1                    160                  3                   
1                    163                  3                   
1                    164                  5                   
1                    165                  2                   
1                    166                  3                   
1                    168                  2                   
1                    169                  2                   
1                    170                  2                   
1                    172                  3                   
1                    173                  1                   
1                    174                  3                   
1                    176                  2                   
1                    177                  1                   
1                    179                  1                   
1                    180                  2                   
1                    181                  2                   
1                    183                  1                   
1                    184                  7                   
1                    185                  3                   
1                    192                  3                   
1                    193                  5                   
1                    195                  3                   
1                    197                  4                   
1                    199                  1                   
1                    202                  5                   
1                    204                  2                   
1                    206                  1                   
1                    208                  1                   
1                    209                  4                   
1                    211                  3                   
1                    214                  4                   
1                    216                  5                   
1                    217                  1                   
1                    218                  2                   
1                    219                  3                   
1                    220                  2                   
1                    222                  2                   
1                    225                  2                   
1                    226                  2                   
1                    227                  1                   
1                    229                  1                   
1                    232                  3                   
1                    235                  2                   
1                    238                  1                   
1                    239                  2                   
1                    240                  7                   
1                    242                  2                   
1                    243                  1                   
1                    244                  5                   
1                    245                  1                   
1                    251                  3                   
1                    252                  11                  
1                    253                  7                   
1                    260                  3                   
1                    261                  2                   
1                    262                  3                   
1                    263                  1                   
1                    267                  3                   
1                    268                  1                   
1                    269                  4                   
1                    270                  2                   
1                    272                  5                   
1                    274                  5                   
1                    280                  4                   
1                    283                  3                   
1                    284                  1                   
1                    288                  2                   
1                    292                  3                   
1                    293                  2                   
1                    294                  8                   
1                    295                  3                   
1                    296                  1                   
1                    297                  2                   
1                    300                  5                   
1                    302                  3                   
1                    303                  4                   
1                    304                  2                   
1                    305                  4                   
1                    306                  3                   
1                    308                  1                   
1                    309                  2                   
1                    310                  1                   
1                    311                  2                   
1                    314                  3                   
1                    315                  5                   
1                    316                  2                   
1                    325                  1                   
1                    327                  4                   
1                    328                  6                   
1                    329                  12                  
1                    331                  1                   
1                    332                  7                   
1                    333                  1                   
1                    334                  3                   
1                    335                  1                   
1                    338                  1                   
1                    339                  1                   
1                    342                  4                   
1                    343                  1                   
1                    344                  2                   
1                    345                  1                   
1                    347                  3                   
1                    348                  2                   
1                    349                  4                   
1                    350                  3                   
1                    352                  3                   
1                    353                  3                   
1                    354                  2                   
1                    358                  3                   
1                    359                  8                   
1                    364                  3                   
1                    366                  2                   
1                    370                  1                   
1                    371                  1                   
1                    373                  1                   
1                    374                  1                   
1                    378                  4                   
1                    380                  1                   
1                    383                  1                   
1                    387                  1                   
1                    388                  1                   
1                    390                  1                   
1                    391                  1                   
1                    395                  8                   
1                    396                  2                   
1                    397                  1                   
1                    398                  3                   
1                    399                  3                   
1                    404                  1                   
1                    406                  2                   
1                    407                  2                   
1                    410                  1                   
1                    414                  5                   
1                    415                  3                   
1                    416                  1                   
1                    417                  1                   
1                    421                  1                   
1                    423                  5                   
1                    429                  2                   
1                    430                  1                   
1                    431                  6                   
1                    433                  3                   
1                    435                  6                   
1                    436                  3                   
1                    437                  1                   
1                    438                  3                   
1                    440                  1                   
1                    441                  1                   
1                    442                  1                   
1                    443                  2                   
1                    446                  1                   
1                    447                  1                   
1                    449                  1                   
1                    453                  3                   
1                    455                  3                   
1                    456                  3                   
1                    462                  1                   
1                    463                  1                   
1                    464                  4                   
1                    465                  1                   
1                    466                  2                   
1                    468                  1                   
1                    472                  1                   
1                    473                  1                   
1                    476                  1                   
1                    481                  1                   
1                    485                  2                   
1                    486                  17                  
1                    489                  1                   
1                    490                  2                   
1                    491                  3                   
1                    493                  3                   
1                    494                  2                   
1                    495                  1                   
1                    497                  3                   
1                    500                  4                   
1                    506                  1                   
1                    508                  1                   
1                    509                  4                   
1                    513                  3                   
1                    516                  1                   
1                    518                  2                   
1                    519                  2                   
1                    520                  1                   
1                    522                  10                  
1                    524                  1                   
1                    525                  1                   
1                    526                  6                   
1                    529                  1                   
1                    530                  1                   
1                    536                  2                   
1                    538                  2                   
1                    539                  1                   
1                    540                  4                   
1                    541                  2                   
1                    542                  7                   
1                    543                  1                   
1                    546                  6                   
1                    547                  1                   
1                    548                  1                   
1                    549                  1                   
1                    550                  2                   
1                    552                  3                   
1                    553                  4                   
1                    554                  7                   
1                    555                  6                   
1                    559                  3                   
1                    560                  3                   
1                    562                  1                   
1                    563                  3                   
1                    564                  4                   
1                    565                  2                   
1                    566                  2                   
1                    567                  1                   
1                    568                  3                   
1                    569                  1                   
1                    571                  5                   
1                    572                  3                   
1                    573                  4                   
1                    574                  1                   
1                    575                  1                   
1                    576                  3                   
1                    577                  2                   
1                    578                  1                   
1                    579                  3                   
1                    581                  1                   
1                    582                  1                   
1                    583                  1                   
1                    584                  5                   
1                    585                  4                   
1                    586                  2                   
1                    587                  2                   
1                    588                  1                   
1                    589                  3                   
1                    591                  1                   
1                    592                  2                   
1                    593                  2                   
1                    601                  2                   
1                    602                  1                   
1                    603                  4                   
1                    604                  1                   
1                    605                  1                   
1                    606                  7                   
1                    618                  2                   
1                    620                  4                   
1                    621                  1                   
1                    623                  8                   
1                    624                  1                   
1                    625                  3                   
1                    626                  1                   
