query_id             doc_id               doc_score           
1                    5                    1                   
1                    6                    1                   
1                    7                    1                   
1                    9                    1                   
1                    11                   1                   
1                    12                   4                   
1                    13                   3                   
1                    14                   3                   
1                    19                   1                   
1                    20                   2                   
1                    21                   1                   
1                    22                   1                   
1                    23                   2                   
1                    24                   2                   
1                    25                   2                   
1                    27                   2                   
1                    28                   2                   
1                    29                   3                   
1                    30                   2                   
1                    32                   1                   
1                    33                   2                   
1                    35                   1                   
1                    36                   2                   
1                    37                   1                   
1                    40                   1                   
1                    41                   1                   
1                    42                   1                   
1                    44                   1                   
1                    45                   2                   
1                    47                   1                   
1                    49                   1                   
1                    50                   2                   
1                    51                   6                   
1                    52                   1                   
1                    53                   2                   
1                    55                   1                   
1                    56                   2                   
1                    57                   1                   
1                    58                   1                   
1                    60                   1                   
1                    61                   1                   
1                    62                   2                   
1                    66                   1                   
1                    67                   1                   
1                    68                   1                   
1                    69                   1                   
1                    70                   1                   
1                    72                   2                   
1                    73                   2                   
1                    74                   1                   
1                    75                   2                   
1                    76                   1                   
1                    77                   2                   
1                    78                   4                   
1                    80                   2                   
1                    81                   1                   
1                    82                   2                   
1                    84                   3                   
1                    85                   2                   
1                    88                   1                   
1                    89                   3                   
1                    90                   1                   
1                    91                   1                   
1                    92                   1                   
1                    94                   1                   
1                    95                   2                   
1                    96                   2                   
1                    97                   2                   
1                    98                   1                   
1                    100                  1                   
1                    101                  3                   
1                    102                  2                   
1                    103                  1                   
1                    104                  1                   
1                    107                  1                   
1                    110                  3                   
1                    114                  1                   
1                    118                  1                   
1                    119                  1                   
1                    120                  2                   
1                    121                  1                   
1                    123                  2                   
1                    124                  2                   
1                    128                  1                   
1                    129                  1                   
1                    131                  1                   
1                    135                  1                   
1                    139                  1                   
1                    140                  1                   
1                    141                  3                   
1                    142                  2                   
1                    144                  2                   
1                    145                  1                   
1                    146                  1                   
1                    147                  1                   
1                    154                  1                   
1                    156                  2                   
1                    157                  1                   
1                    158                  1                   
1                    159                  1                   
1                    160                  3                   
1                    163                  1                   
1                    164                  1                   
1                    165                  1                   
1                    166                  1                   
1                    168                  2                   
1                    169                  2                   
1                    170                  1                   
1                    172                  2                   
1                    173                  1                   
1                    174                  2                   
1                    176                  1                   
1                    177                  1                   
1                    179                  1                   
1                    180                  1                   
1                    181                  1                   
1                    183                  1                   
1                    184                  3                   
1                    185                  1                   
1                    192                  1                   
1                    193                  2                   
1                    195                  2                   
1                    197                  2                   
1                    199                  1                   
1                    202                  3                   
1                    204                  2                   
1                    206                  1                   
1                    208                  1                   
1                    209                  2                   
1                    211                  1                   
1                    214                  1                   
1                    216                  2                   
1                    217                  1                   
1                    218                  1                   
1                    219                  2                   
1                    220                  2                   
1                    222                  1                   
1                    225                  2                   
1                    226                  1                   
1                    227                  1                   
1                    229                  1                   
1                    232                  1                   
1                    235                  2                   
1                    238                  1                   
